"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Проверка гет запроса api/movies","chromium","Mon Dec 09 21:21:03 MSK 2024","passed","Mon Dec 09 21:21:03 MSK 2024","","getApi.test.js","",""
"","18","Успешное добавление фильма с валидными данными","chromium","Mon Dec 09 21:21:03 MSK 2024","passed","Mon Dec 09 21:21:03 MSK 2024","Добавление фильма","addMovie.test.js","",""
